GCD(30, 15) = 15
GCD(20, 72) = 4
GCD(72, 88) = 8
GCD(58, 77) = 1
GCD(92, 80) = 4
GCD(286, 544) = 2
GCD(985, 716) = 1
GCD(839, 433) = 1
GCD(471, 561) = 3
GCD(269, 749) = 1
GCD(1888, 1224) = 8
GCD(3164, 6996) = 4
GCD(6253, 5431) = 1
GCD(4390, 2874) = 2
GCD(5017, 7615) = 1
GCD(76241, 57606) = 1
GCD(74766, 64553) = 1
GCD(12322, 50440) = 2
GCD(34726, 92155) = 1
GCD(14785, 19817) = 1
GCD(672270, 431511) = 3
GCD(694404, 256785) = 3
GCD(975922, 532283) = 1
GCD(279392, 946230) = 2
GCD(906443, 392685) = 1
GCD(2226412, 8648878) = 2
GCD(6061228, 5546440) = 4
GCD(1691980, 1414558) = 2
GCD(3234496, 7268362) = 2
GCD(8356954, 3705742) = 2
GCD(81786288, 61052652) = 12
GCD(21535993, 91675657) = 1
GCD(26586591, 78851391) = 3
GCD(68575643, 45017255) = 1
GCD(45991767, 77583796) = 1
GCD(459917672, 775837965) = 1
GCD(265865917, 788513914) = 1
